Entity,Code,Year,Cantril ladder score
Afghanistan,AFG,2015,3.36
Afghanistan,AFG,2016,3.794
Afghanistan,AFG,2017,3.6315
Afghanistan,AFG,2018,3.2033
Afghanistan,AFG,2019,2.5669
Afghanistan,AFG,2020,2.5229
Afghanistan,AFG,2021,2.4038
Afghanistan,AFG,2022,1.859
Africa,,2015,4.395968
Africa,,2016,4.457408
Africa,,2017,4.4459715
Africa,,2018,4.5119743
Africa,,2019,4.4599953
Africa,,2020,4.551006
Africa,,2021,4.517288
Africa,,2022,4.4265237
Albania,ALB,2015,4.655
Albania,ALB,2016,4.644
Albania,ALB,2017,4.586
Albania,ALB,2018,4.7186
Albania,ALB,2019,4.8827
Albania,ALB,2020,5.1174
Albania,ALB,2021,5.1988
Albania,ALB,2022,5.2773
Algeria,DZA,2015,6.355
Algeria,DZA,2016,5.872
Algeria,DZA,2017,5.2946
Algeria,DZA,2018,5.2113
Algeria,DZA,2019,5.0051
Algeria,DZA,2020,4.8871
Algeria,DZA,2021,5.1223
Algeria,DZA,2022,5.3291
Angola,AGO,2015,3.866
Angola,AGO,2016,3.795
Angola,AGO,2017,3.7948
Argentina,ARG,2015,6.65
Argentina,ARG,2016,6.599
Argentina,ARG,2017,6.388
Argentina,ARG,2018,6.0863
Argentina,ARG,2019,5.9747
Argentina,ARG,2020,5.9293
Argentina,ARG,2021,5.967
Argentina,ARG,2022,6.0237
Armenia,ARM,2015,4.36
Armenia,ARM,2016,4.376
Armenia,ARM,2017,4.3206
Armenia,ARM,2018,4.5594
Armenia,ARM,2019,4.6768
Armenia,ARM,2020,5.2826
Armenia,ARM,2021,5.3986
Armenia,ARM,2022,5.3417
Asia,,2015,4.982811
Asia,,2016,4.9764075
Asia,,2017,4.9194794
Asia,,2018,4.8504577
Asia,,2019,4.732687
Asia,,2020,4.8465176
Asia,,2021,4.892916
Asia,,2022,5.0073028
Australia,AUS,2015,7.313
Australia,AUS,2016,7.284
Australia,AUS,2017,7.2721
Australia,AUS,2018,7.228
Australia,AUS,2019,7.2228
Australia,AUS,2020,7.1835
Australia,AUS,2021,7.1621
Australia,AUS,2022,7.0946
Austria,AUT,2015,7.119
Austria,AUT,2016,7.006
Austria,AUT,2017,7.1394
Austria,AUT,2018,7.246
Austria,AUT,2019,7.2942
Austria,AUT,2020,7.2678
Austria,AUT,2021,7.163
Austria,AUT,2022,7.0973
Azerbaijan,AZE,2015,5.291
Azerbaijan,AZE,2016,5.234
Azerbaijan,AZE,2017,5.2006
Azerbaijan,AZE,2018,5.2077
Azerbaijan,AZE,2019,5.1648
Azerbaijan,AZE,2020,5.1708
Azerbaijan,AZE,2021,5.1734
Bahrain,BHR,2015,6.218
Bahrain,BHR,2016,6.087
Bahrain,BHR,2017,6.1051
Bahrain,BHR,2018,6.1994
Bahrain,BHR,2019,6.2273
Bahrain,BHR,2020,6.6469
Bahrain,BHR,2021,6.6469
Bahrain,BHR,2022,6.1732
Bangladesh,BGD,2015,4.643
Bangladesh,BGD,2016,4.608
Bangladesh,BGD,2017,4.5004
Bangladesh,BGD,2018,4.4558
Bangladesh,BGD,2019,4.8328
Bangladesh,BGD,2020,5.0246
Bangladesh,BGD,2021,5.1555
Bangladesh,BGD,2022,4.2821
Belarus,BLR,2015,5.802
Belarus,BLR,2016,5.569
Belarus,BLR,2017,5.4833
Belarus,BLR,2018,5.3225
Belarus,BLR,2019,5.5399
Belarus,BLR,2020,5.5335
Belarus,BLR,2021,5.8215
Belgium,BEL,2015,6.929
Belgium,BEL,2016,6.891
Belgium,BEL,2017,6.9269
Belgium,BEL,2018,6.923
Belgium,BEL,2019,6.8635
Belgium,BEL,2020,6.834
Belgium,BEL,2021,6.805
Belgium,BEL,2022,6.8591
Belize,BLZ,2015,5.956
Belize,BLZ,2016,5.956
Belize,BLZ,2017,5.9556
Benin,BEN,2015,3.484
Benin,BEN,2016,3.657
Benin,BEN,2017,4.1414
