Entity,Code,Year,"GDP, PPP (constant 2017 international $)"
Afghanistan,AFG,2021,60801742189
Albania,ALB,2021,41039120680
Algeria,DZA,2021,4.87245E+11
Angola,AGO,2021,2.03981E+11
Antigua and Barbuda,ATG,2021,1911097864
Argentina,ARG,2021,9.8946E+11
Armenia,ARM,2021,39650096525
Aruba,ABW,2021,3977400760
Australia,AUS,2021,1.27423E+12
Austria,AUT,2021,4.81977E+11
Azerbaijan,AZE,2021,1.46327E+11
Bahamas,BHS,2021,12426074472
Bahrain,BHR,2021,72803356661
Bangladesh,BGD,2021,1.00107E+12
Barbados,BRB,2021,3900030922
Belarus,BLR,2021,1.84867E+11
Belgium,BEL,2021,6.04509E+11
Belize,BLZ,2021,3531017553
Benin,BEN,2021,43169862200
Bermuda,BMU,2021,5009968693
Bhutan,BTN,2021,9015481276
Bolivia,BOL,2021,97271156545
Bosnia and Herzegovina,BIH,2021,51985608420
Botswana,BWA,2021,38585357240
Brazil,BRA,2021,3.15822E+12
Brunei,BRN,2021,26778952888
Bulgaria,BGR,2021,1.67722E+11
Burkina Faso,BFA,2021,48093149411
Burundi,BDI,2021,8962403403
Cambodia,KHM,2021,72237982362
Cameroon,CMR,2021,1.00346E+11
Canada,CAN,2021,1.84849E+12
Cape Verde,CPV,2021,3737289323
Cayman Islands,CYM,2021,4728683920
Central African Republic,CAF,2021,4574148010
Chad,TCD,2021,24489625095
Chile,CHL,2021,4.95375E+11
China,CHN,2021,2.4939E+13
Colombia,COL,2021,7.55295E+11
Comoros,COM,2021,2652638379
Congo,COG,2021,21594058463
Costa Rica,CRI,2021,1.09368E+11
Cote d'Ivoire,CIV,2021,1.46087E+11
Croatia,HRV,2021,1.24363E+11
Curacao,CUW,2021,3213597516
Cyprus,CYP,2021,39090997908
Czechia,CZE,2021,4.28052E+11
Democratic Republic of Congo,COD,2021,1.02956E+11
Denmark,DNK,2021,3.44393E+11
Djibouti,DJI,2021,5422969268
Dominica,DMA,2021,789248404
Dominican Republic,DOM,2021,2.07082E+11
