Entity,Code,Year,Population (historical)
Afghanistan,AFG,2019,37856126
Afghanistan,AFG,2020,39068978
Afghanistan,AFG,2021,40000411
Afghanistan,AFG,2022,40578846
Afghanistan,AFG,2023,41454762
Africa,,2019,1348005687
Africa,,2020,1380821355
Africa,,2021,1413753270
Africa,,2022,1446883817
Africa,,2023,1480770740
Africa (UN),,2019,1348005491
Africa (UN),,2020,1380821159
Africa (UN),,2021,1413753053
Africa (UN),,2022,1446883651
Africa (UN),,2023,1480770527
Albania,ALB,2019,2885012
Albania,ALB,2020,2871951
Albania,ALB,2021,2849643
Albania,ALB,2022,2827615
Albania,ALB,2023,2811660
Algeria,DZA,2019,43294550
Algeria,DZA,2020,44042093
Algeria,DZA,2021,44761101
Algeria,DZA,2022,45477391
Algeria,DZA,2023,46164221
American Samoa,ASM,2019,50230
American Samoa,ASM,2020,49779
American Samoa,ASM,2021,49248
American Samoa,ASM,2022,48365
American Samoa,ASM,2023,47543
Americas (UN),,2019,1017894602
Americas (UN),,2020,1024463737
Americas (UN),,2021,1029207261
Americas (UN),,2022,1034848562
Americas (UN),,2023,1041794259
Andorra,AND,2019,76491
Andorra,AND,2020,77398
Andorra,AND,2021,78375
Andorra,AND,2022,79722
Andorra,AND,2023,80868
Angola,AGO,2019,32375632
Angola,AGO,2020,33451140
Angola,AGO,2021,34532427
Angola,AGO,2022,35635028
Angola,AGO,2023,36749907
Anguilla,AIA,2019,14845
Anguilla,AIA,2020,14864
Anguilla,AIA,2021,14503
Anguilla,AIA,2022,14202
Anguilla,AIA,2023,14435
Antigua and Barbuda,ATG,2019,91377
Antigua and Barbuda,ATG,2020,91864
Antigua and Barbuda,ATG,2021,92358
Antigua and Barbuda,ATG,2022,92851
Antigua and Barbuda,ATG,2023,93333
Argentina,ARG,2019,44973468
Argentina,ARG,2020,45191960
Argentina,ARG,2021,45312283
Argentina,ARG,2022,45407904
Argentina,ARG,2023,45538402
Armenia,ARM,2019,2903975
Armenia,ARM,2020,2890894
Armenia,ARM,2021,2870339
Armenia,ARM,2022,2880883
Armenia,ARM,2023,2943395
Aruba,ABW,2019,107089
Aruba,ABW,2020,107411
Aruba,ABW,2021,107565
Aruba,ABW,2022,107792
Aruba,ABW,2023,107946
Asia,,2019,4651098712
Asia,,2020,4686811205
Asia,,2021,4716999175
Asia,,2022,4746329726
Asia,,2023,4776659632
Asia (UN),,2019,4652385277
Asia (UN),,2020,4688113349
Asia (UN),,2021,4718316356
Asia (UN),,2022,4747661012
Asia (UN),,2023,4778004495
Asia (excl. China and India),,2019,1770525184
Asia (excl. China and India),,2020,1788807936
Asia (excl. China and India),,2021,1806393856
Asia (excl. China and India),,2022,1822759552
Asia (excl. China and India),,2023,1839126400
Australia,AUS,2019,25482714
Australia,AUS,2020,25743787
Australia,AUS,2021,25956416
Australia,AUS,2022,26200987
Australia,AUS,2023,26451125
Austria,AUT,2019,8880875
Austria,AUT,2020,8921402
Austria,AUT,2021,8967053
Austria,AUT,2022,9064679
Austria,AUT,2023,9130434
