Countries,Code,Year,Share of the population who cannot afford a healthy diet
Albania,ALB,2021,12.6
Algeria,DZA,2021,18.7
Angola,AGO,2021,71.7
Armenia,ARM,2021,54.1
Australia,AUS,2021,3.2
Austria,AUT,2021,3.4
Azerbaijan,AZE,2021,0.7
Bangladesh,BGD,2021,51.7
Belarus,BLR,2021,1
Belgium,BEL,2021,0.8
Belize,BLZ,2021,65.6
Benin,BEN,2021,60.2
Bhutan,BTN,2021,21.5
Bolivia,BOL,2021,8.9
Bosnia and Herzegovina,BIH,2021,5
Botswana,BWA,2021,61.2
Brazil,BRA,2021,30.2
Bulgaria,BGR,2021,6.1
Burkina Faso,BFA,2021,59.1
Burundi,BDI,2021,88.3
Cameroon,CMR,2021,54.3
Canada,CAN,2021,3
Cape Verde,CPV,2021,33.4
Central African Republic,CAF,2021,86.5
Chad,TCD,2021,59
Chile,CHL,2021,42.5
China,CHN,2021,17.6
Colombia,COL,2021,37.9
Comoros,COM,2021,60.8
Congo,COG,2021,78.2
Costa Rica,CRI,2021,15.1
Cote d'Ivoire,CIV,2021,49.6
Croatia,HRV,2021,15.5
Cyprus,CYP,2021,2.3
Czechia,CZE,2021,3.8
Democratic Republic of Congo,COD,2021,92.4
Denmark,DNK,2021,0.8
Djibouti,DJI,2021,52.7
Dominican Republic,DOM,2021,26.1
East Asia & Pacific (WB),,2021,22.4
Ecuador,ECU,2021,27.2
Egypt,EGY,2021,42.3
Estonia,EST,2021,5.1
Eswatini,SWZ,2021,65.1
Ethiopia,ETH,2021,55.2
Europe & Central Asia (WB),,2021,7.6
Fiji,FJI,2021,66.8
Finland,FIN,2021,0.8
France,FRA,2021,3.3
Gabon,GAB,2021,36.3
Gambia,GMB,2021,43.6
Germany,DEU,2021,2.5
Ghana,GHA,2021,62.7
Greece,GRC,2021,21
Grenada,GRD,2021,22.2
Guatemala,GTM,2021,44.9
Guinea,GIN,2021,36.8
Guinea-Bissau,GNB,2021,63.8
Guyana,GUY,2021,16.9
Haiti,HTI,2021,82.4
High-income countries,,2021,6.7
Honduras,HND,2021,38.9
Hungary,HUN,2021,12.7
Iceland,ISL,2021,0.6
India,IND,2021,59
Indonesia,IDN,2021,46.6
Iran,IRN,2021,15
Iraq,IRQ,2021,28.4
Ireland,IRL,2021,1.1
Israel,ISR,2021,18
Italy,ITA,2021,7.7
Jamaica,JAM,2021,23.1
Japan,JPN,2021,7.6
Jordan,JOR,2021,13.6
Kazakhstan,KAZ,2021,5.2
Kenya,KEN,2021,78.8
Kyrgyzstan,KGZ,2021,36.7
Laos,LAO,2021,58
Latin America & Caribbean (WB),,2021,29.7
Latvia,LVA,2021,14.2
Lebanon,LBN,2021,1.8
Lesotho,LSO,2021,76.3
Liberia,LBR,2021,66.3
Lithuania,LTU,2021,8.9
Low-income countries,,2021,72
Lower-middle-income countries,,2021,54.2
Luxembourg,LUX,2021,1.9
Madagascar,MDG,2021,93.6
Malawi,MWI,2021,88.7
Malaysia,MYS,2021,2.8
Maldives,MDV,2021,3
Mali,MLI,2021,55.6
Malta,MLT,2021,2.6
Mauritania,MRT,2021,54.4
Mauritius,MUS,2021,17.8
Mexico,MEX,2021,24.2
Middle East & North Africa (WB),,2021,26.2
Moldova,MDA,2021,10.2
Mongolia,MNG,2021,23.5
Montenegro,MNE,2021,12.5
Morocco,MAR,2021,12
Mozambique,MOZ,2021,89.2
Myanmar,MMR,2021,57.4
Namibia,NAM,2021,59.7
Nepal,NPL,2021,43.6
Netherlands,NLD,2021,1.1
New Zealand,NZL,2021,1.8
Nicaragua,NIC,2021,26.8
Niger,NER,2021,86.8
Nigeria,NGA,2021,78.5
North America (WB),,2021,2.5
North Macedonia,MKD,2021,19
Norway,NOR,2021,1.7
Pakistan,PAK,2021,58.7
Palestine,PSE,2021,5.4
Panama,PAN,2021,45.1
Paraguay,PRY,2021,24.6
Peru,PER,2021,33.9
Philippines,PHL,2021,51.4
Poland,POL,2021,8
Portugal,PRT,2021,13.1
Romania,ROU,2021,59.7
Russia,RUS,2021,1.9
Rwanda,RWA,2021,74.6
Saint Lucia,LCA,2021,9.7
Sao Tome and Principe,STP,2021,49.3
Senegal,SEN,2021,47.5
Serbia,SRB,2021,8.7
Seychelles,SYC,2021,38.8
Sierra Leone,SLE,2021,61.8
Singapore,SGP,2021,0.7
Slovakia,SVK,2021,19.3
Slovenia,SVN,2021,1.7
South Africa,ZAF,2021,61.2
South Asia (WB),,2021,57.4
South Korea,KOR,2021,10
Spain,ESP,2021,9.3
Sri Lanka,LKA,2021,34
Sub-Saharan Africa (WB),,2021,70.3
Sudan,SDN,2021,41.6
Suriname,SUR,2021,25.9
Sweden,SWE,2021,3.6
Switzerland,CHE,2021,1.2
Syria,SYR,2021,86.2
Taiwan,TWN,2021,4.5
Tajikistan,TJK,2021,32.5
Tanzania,TZA,2021,75.2
Thailand,THA,2021,18.3
Togo,TGO,2021,54
Trinidad and Tobago,TTO,2021,39.2
Tunisia,TUN,2021,7.3
Turkey,TUR,2021,8.7
Uganda,UGA,2021,71.4
United Arab Emirates,ARE,2021,0
United Kingdom,GBR,2021,3
United States,USA,2021,2.5
Upper-middle-income countries,,2021,22.2
Uruguay,URY,2021,37.8
Uzbekistan,UZB,2021,15.7
Vietnam,VNM,2021,9.6
World,OWID_WRL,2021,36.4
Zambia,ZMB,2021,81.3
