,Countries,Code,Year,Share of the population who cannot afford a healthy diet
0,Albania,ALB,2021,12.6
1,Algeria,DZA,2021,18.7
2,Angola,AGO,2021,71.7
3,Armenia,ARM,2021,54.1
4,Australia,AUS,2021,3.2
5,Austria,AUT,2021,3.4
6,Azerbaijan,AZE,2021,0.7
7,Bangladesh,BGD,2021,51.7
8,Belarus,BLR,2021,1.0
9,Belgium,BEL,2021,0.8
10,Belize,BLZ,2021,65.6
11,Benin,BEN,2021,60.2
12,Bhutan,BTN,2021,21.5
13,Bolivia,BOL,2021,8.9
14,Bosnia and Herzegovina,BIH,2021,5.0
15,Botswana,BWA,2021,61.2
16,Brazil,BRA,2021,30.2
17,Bulgaria,BGR,2021,6.1
18,Burkina Faso,BFA,2021,59.1
19,Burundi,BDI,2021,88.3
20,Cameroon,CMR,2021,54.3
21,Canada,CAN,2021,3.0
22,Cape Verde,CPV,2021,33.4
23,Central African Republic,CAF,2021,86.5
24,Chad,TCD,2021,59.0
25,Chile,CHL,2021,42.5
26,China,CHN,2021,17.6
27,Colombia,COL,2021,37.9
28,Comoros,COM,2021,60.8
29,Congo,COG,2021,78.2
30,Costa Rica,CRI,2021,15.1
31,Cote d'Ivoire,CIV,2021,49.6
32,Croatia,HRV,2021,15.5
33,Cyprus,CYP,2021,2.3
34,Czechia,CZE,2021,3.8
35,Democratic Republic of Congo,COD,2021,92.4
36,Denmark,DNK,2021,0.8
37,Djibouti,DJI,2021,52.7
38,Dominican Republic,DOM,2021,26.1
39,East Asia & Pacific (WB),,2021,22.4
40,Ecuador,ECU,2021,27.2
41,Egypt,EGY,2021,42.3
42,Estonia,EST,2021,5.1
43,Eswatini,SWZ,2021,65.1
44,Ethiopia,ETH,2021,55.2
45,Europe & Central Asia (WB),,2021,7.6
46,Fiji,FJI,2021,66.8
47,Finland,FIN,2021,0.8
48,France,FRA,2021,3.3
49,Gabon,GAB,2021,36.3
50,Gambia,GMB,2021,43.6
51,Germany,DEU,2021,2.5
52,Ghana,GHA,2021,62.7
53,Greece,GRC,2021,21.0
54,Grenada,GRD,2021,22.2
55,Guatemala,GTM,2021,44.9
56,Guinea,GIN,2021,36.8
57,Guinea-Bissau,GNB,2021,63.8
58,Guyana,GUY,2021,16.9
59,Haiti,HTI,2021,82.4
60,High-income countries,,2021,6.7
61,Honduras,HND,2021,38.9
62,Hungary,HUN,2021,12.7
63,Iceland,ISL,2021,0.6
64,India,IND,2021,59.0
65,Indonesia,IDN,2021,46.6
66,Iran,IRN,2021,15.0
67,Iraq,IRQ,2021,28.4
68,Ireland,IRL,2021,1.1
69,Israel,ISR,2021,18.0
70,Italy,ITA,2021,7.7
